user_id,path,channels,timestamps,conversion,revenue,persona,geo
user_0,Influencer Networks,['Influencer Networks'],['2023-01-28T06:56:01'],0,0.0,Budget Parents,Tier-3 Cities
user_1,YouTube > Influencer Networks > Influencer Networks > Influencer Networks > Influencer Networks > Influencer Networks > TikTok > Google Search,"['YouTube', 'Influencer Networks', 'Influencer Networks', 'Influencer Networks', 'Influencer Networks', 'Influencer Networks', 'TikTok', 'Google Search']","['2023-02-01T15:58:59', '2023-02-04T06:58:59', '2023-02-07T03:58:59', '2023-02-09T02:58:59', '2023-02-10T19:58:59', '2023-02-12T03:58:59', '2023-02-12T07:58:59', '2023-02-13T01:58:59']",0,0.0,Premium Fitness Users,International
user_10,Instagram > E-commerce Marketplaces > TikTok > Influencer Networks > Influencer Networks,"['Instagram', 'E-commerce Marketplaces', 'TikTok', 'Influencer Networks', 'Influencer Networks']","['2023-04-06T16:58:02', '2023-04-09T18:58:02', '2023-04-12T09:58:02', '2023-04-14T17:58:02', '2023-04-16T10:58:02']",0,0.0,Gen-Z Trend Seekers,International
user_100,TikTok > TikTok > TikTok > TikTok > Instagram > Instagram,"['TikTok', 'TikTok', 'TikTok', 'TikTok', 'Instagram', 'Instagram']","['2023-10-25T01:06:50', '2023-10-27T20:06:50', '2023-10-30T18:06:50', '2023-11-01T23:06:50', '2023-11-03T13:06:50', '2023-11-04T06:06:50']",1,3071.01,Impulse Buyers,Tier-2 Cities
user_1000,Programmatic Display > Influencer Networks > Instagram > Instagram,"['Programmatic Display', 'Influencer Networks', 'Instagram', 'Instagram']","['2023-09-09T04:00:53', '2023-09-12T03:00:53', '2023-09-14T04:00:53', '2023-09-16T06:00:53']",0,0.0,Gen-Z Trend Seekers,Tier-2 Cities
user_10000,Instagram > Google Search > Instagram > Influencer Networks > Instagram > YouTube > TikTok > Instagram > E-commerce Marketplaces > Influencer Networks,"['Instagram', 'Google Search', 'Instagram', 'Influencer Networks', 'Instagram', 'YouTube', 'TikTok', 'Instagram', 'E-commerce Marketplaces', 'Influencer Networks']","['2023-11-05T15:21:26', '2023-11-08T21:21:26', '2023-11-11T03:21:26', '2023-11-13T13:21:26', '2023-11-14T14:21:26', '2023-11-15T07:21:26', '2023-11-16T03:21:26', '2023-11-16T18:21:26', '2023-11-17T04:21:26', '2023-11-18T03:21:26']",0,0.0,Premium Fitness Users,Tier-2 Cities
user_10002,Instagram > YouTube > Influencer Networks > Instagram > Influencer Networks,"['Instagram', 'YouTube', 'Influencer Networks', 'Instagram', 'Influencer Networks']","['2023-11-05T22:05:02', '2023-11-09T03:05:02', '2023-11-11T19:05:02', '2023-11-14T01:05:02', '2023-11-15T17:05:02']",0,0.0,Premium Fitness Users,Tier-3 Cities
user_10003,TikTok > Influencer Networks > Google Search > TikTok > Instagram,"['TikTok', 'Influencer Networks', 'Google Search', 'TikTok', 'Instagram']","['2023-05-27T18:40:12', '2023-05-31T04:40:12', '2023-06-02T19:40:12', '2023-06-05T04:40:12', '2023-06-06T21:40:12']",0,0.0,Impulse Buyers,Tier-1 Cities
user_10004,E-commerce Marketplaces > TikTok > E-commerce Marketplaces > Programmatic Display > Google Search > Google Search > E-commerce Marketplaces > E-commerce Marketplaces > E-commerce Marketplaces,"['E-commerce Marketplaces', 'TikTok', 'E-commerce Marketplaces', 'Programmatic Display', 'Google Search', 'Google Search', 'E-commerce Marketplaces', 'E-commerce Marketplaces', 'E-commerce Marketplaces']","['2023-05-29T17:36:34', '2023-06-02T01:36:34', '2023-06-04T06:36:34', '2023-06-05T21:36:34', '2023-06-07T17:36:34', '2023-06-08T13:36:34', '2023-06-09T01:36:34', '2023-06-09T10:36:34', '2023-06-10T02:36:34']",1,2375.31,Budget Parents,International
user_10005,Influencer Networks > Instagram > YouTube > Google Search > Programmatic Display > YouTube > YouTube > E-commerce Marketplaces > Influencer Networks,"['Influencer Networks', 'Instagram', 'YouTube', 'Google Search', 'Programmatic Display', 'YouTube', 'YouTube', 'E-commerce Marketplaces', 'Influencer Networks']","['2023-03-21T00:04:57', '2023-03-23T16:04:57', '2023-03-25T20:04:57', '2023-03-28T06:04:57', '2023-03-29T19:04:57', '2023-03-30T19:04:57', '2023-03-31T09:04:57', '2023-03-31T11:04:57', '2023-03-31T21:04:57']",0,0.0,Premium Fitness Users,Tier-2 Cities
user_10006,Instagram > TikTok > Google Search > TikTok,"['Instagram', 'TikTok', 'Google Search', 'TikTok']","['2023-07-01T11:23:29', '2023-07-04T21:23:29', '2023-07-07T01:23:29', '2023-07-08T17:23:29']",1,3705.3,Impulse Buyers,International
user_10007,Influencer Networks > Influencer Networks > Programmatic Display > YouTube > Influencer Networks > Influencer Networks > YouTube > Instagram > Programmatic Display > Influencer Networks,"['Influencer Networks', 'Influencer Networks', 'Programmatic Display', 'YouTube', 'Influencer Networks', 'Influencer Networks', 'YouTube', 'Instagram', 'Programmatic Display', 'Influencer Networks']","['2023-06-03T08:00:53', '2023-06-06T10:00:53', '2023-06-08T16:00:53', '2023-06-10T21:00:53', '2023-06-12T11:00:53', '2023-06-13T20:00:53', '2023-06-14T04:00:53', '2023-06-14T21:00:53', '2023-06-15T13:00:53', '2023-06-16T11:00:53']",0,0.0,Premium Fitness Users,Tier-3 Cities
